ID,CN,TW,EN,DE
1000,森林入侵,森林入侵,Forest invasion,Waldinvasion
1001,开始游戏,開始遊戲,Game Start,Starte das Spiel
1002,商店,商店,Shop,Speichern
1003,游戏设置,遊戲設置,Game Settings,Spieleinstellungen
1004,退出游戏,退出遊戲,Exit Game,Beende das Spiel
1005,声音:{0},聲音:{0},Sound:{0},Ton:{0}
1006,清除数据,清除數據,Clear Data,Daten löschen
1007,返回,返回,Return,Rückkehr
1008,开,開,Open,öffnen
1009,关,關,Off,Aus
1010,返回游戏,返回游戲,Return,Kehre zum Spiel zurück
1011,攻击,攻擊,Attack,Angriff
1012,弹跳,彈跳,Bounce,Prellen
1013,冷却,冷卻,Cool,Abkühlen
1014,范围,範圍,Range,Reichweite
1015,购买,購買,Buy,Kauf
1016,胜利,勝利,Victory,Sieg
1017,领取奖励,領取獎勵,Double reward,Belohnungen erhalten
1018,双倍奖励,雙倍獎勵,Double reward,Doppelte Belohnung
1019,下一关,下一關,Next level,N?chstes Level
1020,挑战失败,挑戰失敗,Challenge failure,Herausforderungsfehler
1021,再次挑战,再次挑戰,Challenge again,Nochmals herausfordern
1022,退出关卡,退出關卡,Exit the level,Verlasse das Level
1023,升级,升級,Level up,Durchführen
1024,主界面,主界面,Main interface,Hauptschnittstelle
1025,游戏暂停,遊戲暫停,Game pause,Spielpause
1026,已拥有,具有,Owned,Eigene
1027,关卡,關卡,Level,Level
1028,语言,語言,Language,Sprache
